ARO Accession	CVTERM ID	Drug_Class	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	CARD Short Name	length
ARO:3006882	45344	Beta-lactams	ECM-1	WP_122630824.1	NG_062207.1	ECM beta-lactamase	carbapenem	antibiotic inactivation	ECM-1	912
ARO:3006883	45345	Beta-lactams	ECV-1	WP_015266427.1	NG_059320.1	ECV beta-lactamase	carbapenem	antibiotic inactivation	ECV-1	774
ARO:3006884	45346	Beta-lactams	EFM-1	WP_122630822.1	NG_062204.1	EFM beta-lactamase	carbapenem	antibiotic inactivation	EFM-1	909
ARO:3006885	45347	Beta-lactams	ELM-1	WP_081853183.1	NG_062206.1	ELM beta-lactamase	carbapenem	antibiotic inactivation	ELM-1	942
ARO:3006886	45348	Beta-lactams	EVM-1	WP_122630823.1	NG_062205.1	EVM beta-lactamase	carbapenem	antibiotic inactivation	EVM-1	918
ARO:3006887	45349	Beta-lactams	FIA-1	WP_041258349.1	NG_057437.1	FIA beta-lactamase	carbapenem	antibiotic inactivation	FIA-1	750
ARO:3006888	45350	Beta-lactams	GIL-1	WP_063860521.1	NG_049142.1	GIL beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	GIL-1	861
ARO:3006889	45351	Beta-lactams	GMB-1	WP_204376227.1	NG_073463.1	GMB beta-lactamase	carbapenem	antibiotic inactivation	GMB-1	813
ARO:3006892	45354	Beta-lactams	ALG11-1	WP_122630833.1	NG_062237.1	ALG11 beta-lactamase	carbapenem	antibiotic inactivation	ALG11-1	888
ARO:3006893	45355	Beta-lactams	ALG6-1	WP_122630832.1	NG_062236.1	ALG6 beta-lactamases	carbapenem	antibiotic inactivation	ALG6-1	957
ARO:3006894	45356	Beta-lactams	ALI-1	WP_026025287.1	NG_057427.1	ALI beta-lactamase	carbapenem	antibiotic inactivation	ALI-1	738
ARO:3006895	45357	Beta-lactams	ALI-2	WP_065597326.1	NG_059328.1	ALI beta-lactamase	carbapenem	antibiotic inactivation	ALI-2	738
ARO:3006896	45358	Beta-lactams	ANA-1	WP_041449074.1	NG_057424.1	ANA beta-lactamase	carbapenem	antibiotic inactivation	ANA-1	768
ARO:3006899	45361	Beta-lactams	AXC-3	WP_081330264.1	NG_066502.1	AXC beta-lactamase	carbapenem	antibiotic inactivation	AXC-3	897
ARO:3006902	45364	Beta-lactams	BSU-1	WP_003235647.1	NG_050942.1	BSU beta-lactamase	carbapenem	antibiotic inactivation	BSU-1	804
ARO:3006903	45365	Beta-lactams	CAR-1	WP_011094382.1	NG_048712.1	CAR beta-lactamase	carbapenem	antibiotic inactivation	CAR-1	1029
ARO:3006910	45372	Beta-lactams	CfiA18	WP_085562388.1	NG_054673.1	CfiA beta-lactamase	carbapenem	antibiotic inactivation	CfiA18	750
ARO:3006913	45375	Beta-lactams	CfiA21	WP_085562390.1	NG_054675.1	CfiA beta-lactamase	carbapenem	antibiotic inactivation	CfiA21	750
ARO:3006914	45376	Beta-lactams	CfiA22	WP_085562385.1	NG_054668.1	CfiA beta-lactamase	carbapenem	antibiotic inactivation	CfiA22	750
ARO:3006916	45378	Beta-lactams	CfiA24	WP_085562387.1	NG_054670.1	CfiA beta-lactamase	carbapenem	antibiotic inactivation	CfiA24	750
ARO:3006918	45380	Beta-lactams	CfiA27	WP_197749418.1	NG_071228.1	CfiA beta-lactamase	carbapenem	antibiotic inactivation	CfiA27	750
ARO:3006919	45381	Beta-lactams	CfiA4	WP_005821510.1	NG_050392.1	CfiA beta-lactamase	carbapenem	antibiotic inactivation	CfiA4	750
ARO:3006920	45382	Beta-lactams	CfiA8	WP_063865206.1	NG_050393.1	CfiA beta-lactamase	carbapenem	antibiotic inactivation	CfiA8	750
ARO:3006921	45383	Beta-lactams	CfiA9	WP_063865207.1	NG_050394.1	CfiA beta-lactamase	carbapenem	antibiotic inactivation	CfiA9	750
ARO:3006922	45384	Beta-lactams	CMA-1	WP_032974004.1	NG_062222.1	CMA beta-lactamase	cephalosporin	antibiotic inactivation	CMA-1	1128
ARO:3006923	45385	Beta-lactams	CMA-2	WP_105620838.1	NG_062212.1	CMA beta-lactamase	cephalosporin	antibiotic inactivation	CMA-2	1128
ARO:3006924	45386	Beta-lactams	CVI-1	WP_164461288.1	NG_067986.1	CVI beta-lactamase	carbapenem	antibiotic inactivation	CVI-1	768
ARO:3006925	45387	Beta-lactams	GRD23-1	WP_122630835.1	NG_062239.1	GRD23 beta-lactamase	carbapenem	antibiotic inactivation	GRD23-1	726
ARO:3006926	45388	Beta-lactams	GRD33-1	WP_122630834.1	NG_062238.1	GRD33 beta-lactamase	carbapenem	antibiotic inactivation	GRD33-1	870
ARO:3006935	45397	Beta-lactams	LHK-1	WP_081666691.1	NG_056482.1	LHK beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	LHK-1	1167
ARO:3006936	45398	Beta-lactams	LHK-2	WP_104531865.1	NG_056483.1	LHK beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	LHK-2	1170
ARO:3006937	45399	Beta-lactams	LHK-3	WP_104531866.1	NG_056484.1	LHK beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	LHK-3	1173
ARO:3006938	45400	Beta-lactams	LHK-4	WP_104531867.1	NG_056485.1	LHK beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	LHK-4	1173
ARO:3006939	45401	Beta-lactams	LHK-5	WP_104531868.1	NG_056486.1	LHK beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	LHK-5	1173
ARO:3006940	45402	Beta-lactams	LHK-6	WP_104531869.1	NG_056487.1	LHK beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	LHK-6	1173
ARO:3006941	45403	Beta-lactams	LRG-1	WP_063860827.1	NG_049283.1	LRG beta-lactamase	cephalosporin	antibiotic inactivation	LRG-1	900
ARO:3006942	45404	Beta-lactams	LUS-1	WP_041881964.1	NG_055472.1	LUS beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	LUS-1	912
ARO:3006946	45408	Beta-lactams	LUT-4	WP_063860830.1	NG_049287.1	LUT beta-lactamase	cephalosporin	antibiotic inactivation	LUT-4	891
ARO:3006947	45409	Beta-lactams	LUT-5	WP_063860831.1	NG_049288.1	LUT beta-lactamase	cephalosporin	antibiotic inactivation	LUT-5	891
ARO:3006948	45410	Beta-lactams	LUT-6	WP_063860832.1	NG_049289.1	LUT beta-lactamase	cephalosporin	antibiotic inactivation	LUT-6	891
ARO:3006951	45413	Beta-lactams	MBL1b	WP_063860835.1	NG_049292.1	MBL beta-lactamase	carbapenem	antibiotic inactivation	MBL1b	870
ARO:3006952	45414	Beta-lactams	MOC-1	WP_060874262.1	NG_051495.1	MOC beta-lactamase	carbapenem	antibiotic inactivation	MOC-1	747
ARO:3006953	45415	Beta-lactams	MOR-2	WP_063860842.1	NG_049310.1	MOR beta-lactamase	cephalosporin	antibiotic inactivation	MOR-2	1140
ARO:3006954	45416	Beta-lactams	MYO-1	WP_081048762.1	NG_059325.1	MYO beta-lactamase	carbapenem	antibiotic inactivation	MYO-1	801
ARO:3006955	45417	Beta-lactams	MYX-1	WP_011550565.1	NG_057453.1	MYX beta-lactamase	carbapenem	antibiotic inactivation	MYX-1	786
ARO:3006963	45425	Beta-lactams	ORR-1	WP_109545042.1	NG_059317.1	ORR beta-lactamase	carbapenem	antibiotic inactivation	ORR-1	768
ARO:3006964	45426	Beta-lactams	PAU-1	WP_148044424.1	NG_065882.1	PAU beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	PAU-1	882
ARO:3006965	45427	Beta-lactams	PFM-1	WP_148044470.1	NG_065936.1	PFM beta-lactamase	carbapenem	antibiotic inactivation	PFM-1	762
ARO:3006966	45428	Beta-lactams	PFM-2	WP_057012521.1	NG_067160.1	PFM beta-lactamase	carbapenem	antibiotic inactivation	PFM-2	762
ARO:3006967	45429	Beta-lactams	PFM-3	WP_156404660.1	NG_067161.1	PFM beta-lactamase	carbapenem	antibiotic inactivation	PFM-3	762
ARO:3006972	45434	Beta-lactams	PLN-1	WP_041884311.1	NG_055471.1	PLN beta-lactamase	carbapenem	antibiotic inactivation	PLN-1	870
ARO:3006973	45435	Beta-lactams	PME-1	WP_063864599.1	NG_049973.1	PME beta-lactamase	carbapenem	antibiotic inactivation	PME-1	930
ARO:3006974	45436	Beta-lactams	POM-1	WP_044403015.1	NG_049974.1	POM beta-lactamase	carbapenem	antibiotic inactivation	POM-1	861
ARO:3006975	45437	Beta-lactams	POM-2	WP_140423326.1	NG_065446.1	POM beta-lactamase	carbapenem	antibiotic inactivation	POM-2	861
ARO:3006976	45438	Beta-lactams	PST-1	WP_043942497.1	NG_057439.1	PST beta-lactamase	carbapenem	antibiotic inactivation	PST-1	729
ARO:3006978	45440	Beta-lactams	PSV-1	WP_075226241.1	NG_052626.1	PSV beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	PSV-1	888
ARO:3006981	45443	Beta-lactams	RSA2-1	WP_128268281.1	NG_063889.1	RSA2 beta-lactamase	carbapenem	antibiotic inactivation	RSA2-1	933
ARO:3006982	45444	Beta-lactams	RSD2-1	WP_128268284.1	NG_063892.1	RSD2 beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	RSD2-1	774
ARO:3006987	45449	Beta-lactams	SGM-1	WP_009821475.1	NG_049983.1	SGM beta-lactamase	carbapenem	antibiotic inactivation	SGM-1	966
ARO:3006988	45450	Beta-lactams	SGM-2	WP_041385949.1	NG_049984.2	SGM beta-lactamase	carbapenem	antibiotic inactivation	SGM-2	930
ARO:3006989	45451	Beta-lactams	SGM-3	WP_007688792.1	NG_052647.1	SGM beta-lactamase	carbapenem	antibiotic inactivation	SGM-3	930
ARO:3006991	45453	Beta-lactams	SGM-5	WP_007708339.1	NG_049987.1	SGM beta-lactamase	carbapenem	antibiotic inactivation	SGM-5	981
ARO:3006994	45456	Beta-lactams	SHN-1	WP_011497575.1	NG_059313.1	SHN beta-lactamase	carbapenem	antibiotic inactivation	SHN-1	714
ARO:3006995	45457	Beta-lactams	SPN79-1	WP_122630830.1	NG_062234.1	SPN79 beta-lactamase	carbapenem	antibiotic inactivation	SPN79-1	837
ARO:3006996	45458	Beta-lactams	SPR-1	WP_012145975.1	NG_052102.1	SPR beta-lactamase	carbapenem	antibiotic inactivation	SPR-1	897
ARO:3006997	45459	Beta-lactams	SPS-1	WP_013255389.1	NG_059316.1	SPS beta-lactamase	carbapenem	antibiotic inactivation	SPS-1	831
ARO:3006999	45461	Beta-lactams	SST-1	WP_063864750.1	NG_050144.1	SST beta-lactamase	cephalosporin	antibiotic inactivation	SST-1	1137
ARO:3007000	45462	Beta-lactams	STA-1	WP_109545039.1	NG_057419.1	STA beta-lactamase	carbapenem	antibiotic inactivation	STA-1	786
ARO:3007001	45463	Beta-lactams	TER-1	WP_063865145.1	NG_050309.1	TER beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	TER-1	855
ARO:3007005	45467	Beta-lactams	YEM-1	WP_004874166.1	NG_070759.1	YEM beta-lactamase	carbapenem	antibiotic inactivation	YEM-1	741
ARO:3007006	45468	Beta-lactams	ZOG-1	WP_013992183.1	NG_057434.1	ZOG beta-lactamase	carbapenem	antibiotic inactivation	ZOG-1	744
ARO:3007007	45469	Beta-lactams	TER-2	WP_063865146.1	NG_050310.1	TER beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	TER-2	855
ARO:3007010	45478	Multidrug	norC	AGP27106.1	CP005288.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	norC	1389
ARO:3007011	45479	Multidrug	mdeA	WP_002289367.1	NZ_CP044221.1	major facilitator superfamily (MFS) antibiotic efflux pump	aminoglycoside antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;penicillin beta-lactam;tetracycline antibiotic	antibiotic efflux	mdeA	1362
ARO:3007013	45482	Multidrug	sdrM	BAB43261.1	BA000018.3	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	sdrM	1344
ARO:3007014	45483	Disinfecting agents and antiseptics	qacJ	CAD55144.1	AJ512814.1	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux	qacJ	324
ARO:3007015	45484	Disinfecting agents and antiseptics	qacG	WP_015740450.1	NG_051904.1	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux	qacG	324
ARO:3007017	45486	Beta-lactams	SHD-1	WP_011495276.1	NG_077967.1	SHD beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	SHD-1	810
ARO:3007019	45490	Phenicol	fexB	AEV23046.1	JN201336.1	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	fexB	1410
ARO:3007021	45492	Beta-lactams	PFM-4	MBU4627809.1	JACOMR010000005.1	PFM beta-lactamase	carbapenem	antibiotic inactivation	PFM-4	762
ARO:3007026	45570	Multidrug	salB	MBW0770001.1	JAHWBZ010000013.1	sal-type ABC-F protein	lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic	antibiotic target protection	salB	1626
ARO:3007027	45571	Multidrug	salC	MBW0764195.1	JAAQPD010000007.1	sal-type ABC-F protein	lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic	antibiotic target protection	salC	1626
ARO:3007028	45572	Multidrug	salD	WP_082039181.1	NZ_JAIEXG010000001.1	sal-type ABC-F protein	lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic	antibiotic target protection	salD	1635
ARO:3007029	45573	Multidrug	salE	WP_096809342.1	NZ_CP017459.1	sal-type ABC-F protein	lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic	antibiotic target protection	salE	1632
ARO:3007032	45591	MLS	Erm(50)	BBJ25230.1	LC473083.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(50)	792
ARO:3007033	45592	MLS	Erm(51)	QKE44141.1	MN928789.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(51)	792
ARO:3007041	45600	MLS	Erm(52)	QQM99828.1	MW269959.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(52)	930
ARO:3007042	45601	MLS	msr(G)	QNR09092.1	CP046364.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection	msr(G)	1458
ARO:3007043	45602	Multidrug	msr(I)	QQA64075.1	CP065927.1	msr-type ABC-F protein	macrolide antibiotic;phosphonic acid antibiotic;streptogramin antibiotic	antibiotic target protection	msr(I)	1458
ARO:3007044	45603	MLS	mef(F)	QNR09091.1	CP046364.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	mef(F)	1194
ARO:3007049	45608	MLS	mef(J)	QQA64076.1	CP065927.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	mef(J)	1194
ARO:3007050	45609	MLS	mreA	AAB64408.1	U92073.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	mreA	936
ARO:3007051	45610	Multidrug	Helicobacter pylori rpoB mutation conferring resistance to rifampicin	AAD08242.1	AE000511.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	fluoroquinolone antibiotic;peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	Hpyl_rpoB_RIF	8673
ARO:3007052	45612	Multidrug	Helicobacter pylori gyrA conferring resistance to fluoroquinolones	WP_001153763.1	NC_000915.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin-like antibiotic	antibiotic target alteration	Hpyl_gyrA_FLO	2484
ARO:3007053	45613	Multidrug	Helicobacter pylori gyrB conferring resistance to fluoroquinolones	WP_001182024.1	NC_000915.1	fluoroquinolone resistant gyrB	aminocoumarin antibiotic;fluoroquinolone antibiotic	antibiotic target alteration	Hpyl_gyrB_FLO	2322
ARO:3007055	45615	Nitroimidazole	Helicobacter pylori rdxA mutation conferring resistance to metronidazole	WP_000670110.1	NC_000915.1	Antibiotic resistant Helicobacter pylori nitroreductase	nitroimidazole antibiotic	antibiotic target alteration	Hpyl_rdxA_MTZ	633
ARO:3007057	45617	Beta-lactams	Helicobacter pylori pbp3 conferring resistance to amoxicillin	EJC52487.1	AKPU01000002.1	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target alteration	Hpyl_pbp3_AMX	1848
ARO:3007058	45619	Beta-lactams	Helicobacter pylori pbp2 mutants conferring resistance to amoxicillin	AAK17127.1	AF315504.1	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target alteration	Hpyl_pbp2_AMX	1767
ARO:3007059	45620	Nitroimidazole	Helicobacter pylori frxA mutation conferring resistance to metronidazole	AAD07703.1	AE000511.1	Antibiotic resistant Helicobacter pylori nitroreductase	nitroimidazole antibiotic	antibiotic target alteration	Hpyl_fxrA_MTZ	654
ARO:3007060	45621	Beta-lactams	Helicobacter pylori pbp1 mutants conferring resistance to amoxicillin	AAK17126.1	AF315503.1	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target alteration	Hpyl_pbp1_AMX	1980
ARO:3007062	45623	Multidrug	VAM-1	QTJ60982.1	MW827739.1	VAM beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam;tetracycline antibiotic	antibiotic inactivation	VAM-1	741
ARO:3007069	45631	Phosphonic acid	FosY	QTE33800.1	MN961674.1	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosY	423
ARO:3007070	45632	Peptide	MCR-1.33	UGY30527.1	OL624718.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-1.33	1626
ARO:3007075	45637	Aminoglycoside	cph	AAA92037.1	U13078.1	capreomycin phosphotransferase	aminoglycoside antibiotic	antibiotic inactivation	cph	846
ARO:3007085	45648	Beta-lactams	PRC-1	QTV22830.1	MW854031.1	PRC beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	PRC-1	1140
ARO:3007097	45661	Phosphonic acid	FosM1	DAC85639.1	BK012111.1	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosM1	423
ARO:3007098	45663	Phosphonic acid	FosM2	DAC85640.1	BK012112.1	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosM2	420
ARO:3007099	45665	Phosphonic acid	FosM3	DAC85641.1	BK012113.1	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosM3	429
ARO:3007101	45668	Beta-lactams	BcIII	EJR72097.1	AHFI01000047.1	class A Bacillus cereus Bc beta-lactamase	cephalosporin	antibiotic inactivation	BcIII	951
ARO:3007104	45672	Nitroimidazole	nimA	CAA50581.1	X71444.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimA	531
ARO:3007105	45673	Nitroimidazole	nimC	CAA54269.1	X76948.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimC	492
ARO:3007106	45674	Nitroimidazole	nimD	CAA54273.1	X76949.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimD	495
ARO:3007107	45675	Nitroimidazole	nimE	QCQ47774.1	CP036548.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimE	513
ARO:3007108	45676	Nitroimidazole	nimF	CAD56147.1	AJ515145.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimF	453
ARO:3007109	45677	Nitroimidazole	nimG	OUQ50894.1	NFLR01000029.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimG	495
ARO:3007110	45679	Nitroimidazole	nimH	ACR56004.1	FJ969397.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimH	453
ARO:3007111	45680	Nitroimidazole	nimI	ERK40265.1	AWEY01000007.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimI	519
ARO:3007112	45682	Nitroimidazole	nimJ	AIM40056.1	KJ816753.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimJ	498
ARO:3007113	45683	Nitroimidazole	nimK	AXA20009.1	MG827401.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	nimK	507
ARO:3007118	45694	Beta-lactams	crxA	MBS5055441.1	JAGZKL010000021.1	subclass B1 Bacteroides xylanisolvens crx beta-lactamase	carbapenem	antibiotic inactivation	crxA	1053
ARO:3007119	45696	Tetracycline	tet(O/32/O)	CAC41371.2	AJ295238.3	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(O/32/O)	1920
ARO:3007120	45697	Tetracycline	tet(O/M/O)	AAR29485.1	AY394560.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(O/M/O)	1920
ARO:3007121	45698	Tetracycline	tet(O/W)	AAR29969.1	AY485122.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(O/W)	1920
ARO:3007122	45699	Tetracycline	tet(O/W/32/O)	ABF69686.1	DQ525023.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(O/W/32/O)	1920
ARO:3007123	45700	Tetracycline	tet(O/W/O)	AAO42740.1	AY196920.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(O/W/O)	1920
ARO:3007124	45701	Tetracycline	tet(W/32/O)	AAL09826.1	AY049983.2	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(W/32/O)	1920
ARO:3007127	45707	Tetracycline	Streptomyces lividans otr(A)	AAA26830.1	M74049.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	otr(A)S.liv	1920
ARO:3000178	36317	Tetracycline	tet(K)	AAB28795.1	S67449.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(K)	1380
ARO:3000423	36562	Phosphonic acid	FomA	BAA32493.1	AB016934.1	Fom phosphotransferase family	phosphonic acid antibiotic	antibiotic inactivation	FomA	801
ARO:3001460	37860	Beta-lactams	OXA-155	ALA99189.1	KP771983.1	OXA beta-lactamase;OXA-62-like beta-lactamase	carbapenem;penicillin beta-lactam	antibiotic inactivation	OXA-155	879
ARO:3001876	38276	Beta-lactams	CTX-M-13	AAF72531.1	AF252623.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	CTX-M-13	876
ARO:3001920	38320	Beta-lactams	CTX-M-59	ABD73290.1	DQ408762.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	CTX-M-59	876
ARO:3002111	38511	Beta-lactams	CMY-98	AGH70380.1	KC603538.1	CMY beta-lactamase	cephalosporin	antibiotic inactivation	CMY-98	1131
ARO:3002180	38580	Beta-lactams	MIR-15	AIT76104.1	KM087851.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	MIR-15	1146
ARO:3002216	38616	Beta-lactams	IMP-25	ACB41775.1	EU541448.1	IMP beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	IMP-25	741
ARO:3002226	38626	Beta-lactams	IMP-35	AFO59566.1	JF816544.1	IMP beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	IMP-35	741
ARO:3002385	38785	Beta-lactams	BEL-1	AAZ04368.1	DQ089809.1	BEL beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	BEL-1	852
ARO:3002517	38917	Beta-lactams	OCH-4	CAC17624.1	AJ295342.1	OCH beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	OCH-4	1173
ARO:3002530	38930	Aminoglycoside	AAC(3)-Ib	AAA88422.1	L06157.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-Ib	531
ARO:3002547	38947	Multidrug	AAC(6')-Ib-cr1	WP_071846215.1	NG_052213.1	AAC(6');AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	AAC(6')-Ib-cr1	555
ARO:3002579	38979	Aminoglycoside	AAC(6')-Ib8	AIK02012.1	KF998105.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib8	678
ARO:3002638	39038	Aminoglycoside	APH(3'')-Ia	CAA37605.1	X53527.1	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation	APH(3'')-Ia	819
ARO:3002653	39053	Aminoglycoside	APH(3')-VIb	CAF29483.1	AJ627643.4	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-VIb	780
ARO:3002714	39148	Fluoroquinolone	QnrB1	ABC86904.2	DQ351241.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB1	645
ARO:3002730	39164	Fluoroquinolone	QnrB15	ABX72227.1	EU302865.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB15	681
ARO:3002747	39181	Fluoroquinolone	QnrB32	AEL00450.1	JN173054.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB32	645
ARO:3002753	39187	Fluoroquinolone	QnrB38	AEL00461.1	JN173060.2	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB38	645
ARO:3002760	39194	Fluoroquinolone	QnrB45	WP_063866109.1	NG_050508.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB45	645
ARO:3002852	39286	Rifamycin	arr-7	CAZ48628.1	FN397623.1	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	arr-7	453
ARO:3002871	39305	Tetracycline	tet(37)	AAN28721.1	AF540889.1	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation	tet(37)	327
ARO:3002966	39400	Glycopeptide	vanXY gene in vanC cluster	AAF61331.1	AF162694.1	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	vanXY_in_vanC	573
ARO:3003018	39452	Diaminopyrimidine	dfrA22	AGY30828.1	KF525301.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	dfrA22	498
ARO:3003135	39712	Beta-lactams	CMY-127	AKO62864.1	KM985465.1	CMY beta-lactamase	cephalosporin	antibiotic inactivation	CMY-127	1146
ARO:3003146	39723	Beta-lactams	VEB-10	WP_063865150.1	NG_050318.1	VEB beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	VEB-10	900
ARO:3003702	40355	Fluoroquinolone	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolones	BAA37152.1	AB003428.1	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration	Paer_ParC_FLO	2265
ARO:3003794	40479	Peptide	Staphylococcus aureus walK with mutation conferring resistance to daptomycin	CAG39047.1	BX571856.1	daptomycin resistant walK	peptide antibiotic	antibiotic target alteration	Saur_walK_DAP	1827
